Title,Original Title,Subtitle,Series,Volume,Author,"Author (Last, First)",Illustrator,Narrator,Translator,Photographer,Editor,Publisher,Place of Publication,Date Published,Year Published,Original Date Published,Original Year Published,Edition,Genre,Summary,Guided Reading Level,Lexile Measure,Lexile Code,Grade Level Equivalent,Developmental Reading Assessment,Interest Level,AR Level,AR Points,AR Quiz Number,Word Count,Number of Pages,Format,Audio Runtime,Dimensions,Weight,List Price,Language,Original Language,DDC,LCC,LCCN,OCLC,ISBN,ISSN,Favorites,Rating,Physical Location,Status,Status Incompleted Reason,Status Hidden,Date Started,Date Finished,Current Page,Loaned To,Date Loaned,Borrowed From,Date Borrowed,Returned from Borrow,Not Owned Reason,Quantity,Condition,Recommended By,Date Added,User Supplied ID,User Supplied Descriptor,Tags,Purchase Date,Purchase Place,Purchase Price,Notes,Google VolumeID,Category,Wish List,Previously Owned,Up Next,Position,Uploaded Image URL,Activities
28 mentes que mudaram o mundo,,,,,Rhymer Rigby & Alessandra Mussi,"Rigby, Rhymer",,,,,,,,2013/12/12,2013,,,,Business & Personal Finance,"Este livro oferece perfis de grandes mentes do MUNDO moderno capitalista; Alguns são grandes intelectuais, enquanto outros são pragmáticos ao extremo; Muitos querem mudar o MUNDO, mas outros buscam dinheiro e poder a todo custo; De Oprah a Mark Zuckerberg, o autor descreve como os cérebros mais importantes do MUNDO criaram negócios extraordinários e evidencia a importância do legado que eles deixaram para a humanidade.",,,,,,,,,,,,,,,,,,,,,,,9788535244380,,0,4.000000,,Read,,,,2018/06/11,,,,,,0,,,,,2018/06/10 01:26:51.329838037,,,,,,,,,Pessoal,0,,,,https://is1-ssl.mzstatic.com/image/thumb/Publication3/v4/b8/87/08/b8870898-3222-3a25-fbb7-1fea31b49206/source/512x512bb.jpg,
30 dias para arrasar nas mídias sociais,,,,,Gail Z Martin,"Martin, Gail Z",,,,,,Editora Best Seller,,2012/10/31,2012,,,,Business & Economics,"As redes sociais são as protagonistas da nova internet e o que mais atrai a atenção de todos a este fenômeno é a possibilidade de fazer novos negócios. Contudo, engana-se quem pensa que esse espaço é estritamente dominado pelas grandes empresas que possuem departamentos de marketing estruturados e disponibilizam uma boa quantia do orçamento para investir nas redes sociais. O especialista em marketing Gail Z. Martin mostra como microempresários e profissionais autônomos também podem se valer da internet para alavancar a divulgação de um produto a um baixo custo. 30 dias para arrasar nas mídias sociais ensina a navegar nos principais sites e dominar as ferramentas que cada um deles oferece. Gail Z. Martin traça neste livro o mapa das mídias sociais, a mina da nova internet, e demonstra como empresas e pessoas podem se beneficiar por meio delas para conquistar mais admiradores, clientes, consumidores e até gerar fidelização. A autora propõe um manual de comportamento on-line e um guia dirigido focado em pequenas empresas que atuam em regiões restritas, empresas tradicionais que necessitam de renovação ou novos empreendimentos que precisam melhorar a visibilidade a baixo custo. Ela é direta ao indicar quais os melhores caminhos para que, através de pequenas ações nas mídias sociais, a sua empresa, a sua marca ou seu produto ganhe maior alcance. Aos poucos, é possível perceber que o sucesso na internet é sinônimo de melhores vendas e ótimas parcerias, ajuda a consolidar uma boa posição no mercado e traz vantagens a longo prazo.",,,,,,,,,,,304,,,,,,português,,,,,,9788576846246,,0,3.500000,,Read,,,,2019/08/22,,,,,,0,,,,,2019/08/03 17:36:48.843876004,,,,,,,,t-dSYsi_2lcC,Profissional,0,,,,,"[{""status"":0,""activityYear"":2019,""param1"":""1"",""param2"":""2"",""param3"":"""",""contact"":"""",""comments"":"""",""deviceName"":""iPhone de Antonio Armando Filho"",""type"":12,""addedDate"":""2019\/08\/22 22:43:55.493047952"",""activityDate"":""2019\/08\/22""}]"
38 estratégias para vencer qualquer debate,,A arte de ter razão,,,Arthur Schopenhauer,"Schopenhauer, Arthur",,,,,,Faro Editorial,,,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,9788562409028,,0,3.000000,,Read,,,,2020/10/02,,,,,,0,,,,,2020/09/21 21:06:22.814175009,,,,,,,Fila 0 | Coluna 1 | Zona 9,,Pessoal,0,,0,,http://images.amazon.com/images/P/8562409022.01Z.jpg,"[{""status"":0,""activityYear"":2020,""param1"":""1"",""param2"":""2"",""param3"":"""",""contact"":"""",""comments"":"""",""deviceName"":""iPhone de Antonio Armando Filho"",""type"":12,""addedDate"":""2020\/10\/02 20:27:42.752442955"",""activityDate"":""2020\/10\/02""}]"
4.581 Sobras De Campanha,,uma experiência político-partidária,,,Francisco Baltazat Neto,"Baltazat Neto, Francisco",,,,,,Omni,,,2013,,,,,,,,,,,,,,,,269,,,,,,,,,,,,9788588661455,,0,0.500000,,Read,,0,,2020/03/13,,,,,,0,,,,,2019/08/12 08:55:46.146579027,,,,,,,,,Pessoal,0,0,0,,https://s3.amazonaws.com/kimicoapps-bookbuddy/35EB3BF2-E511-4556-B983-110A0C00962C,"[{""status"":0,""activityYear"":2020,""param1"":""1"",""param2"":""2"",""param3"":"""",""contact"":"""",""comments"":"""",""deviceName"":""iPhone de Antonio Armando Filho"",""type"":12,""addedDate"":""2020\/03\/13 22:46:55.139644026"",""activityDate"":""2020\/03\/13""}]"
A Arte da Guerra,,Os treze capítulos originais,,,Sun-tzu,Sun-tzu,,,,,,Geração Editorial,,,1996,,,,Art,"O maior tratado de guerra de todos os tempos em sua versão completa em português.  A Arte da Guerra é sem dúvida a Bíblia da estratégia, sendo hoje utilizada amplamente no mundo dos negócios, conquistando pessoas e mercados. Não nos surpreende vê-la citada em fi lmes como Wall Street(Oliver Stone, 1990) e constantemente aplicada para solucionar os mais recentes confl itos do nosso dia-a-dia. Conheça um dos maiores ícones da estratégia dos últimos 2500 anos.Sunzi disse:“A guerra se baseia no engano, se faz pelo ganho e se adapta pela divisão e combinação.”“Tal como a água procura as profundezas e evita os cumes, um exército ataca o vazio e evita o cheio. A água se move de acordo com a terra; um exército se movimenta de acordo com o inimigo.”“Quando o general é fraco, sem autoridade junto aos soldados, suas regras são confusas e sua moral é baixa, o exército é confuso.”",,,,,,,,,,,160,,,,,,português,,,,,,9788560018000,,0,5.000000,,Read,,,,2018/06/11,,,,,,0,,,,,2018/06/10 02:00:45.909190058,,,,,,,,IObJNPV-rwEC,Pessoal,0,,,,,
A arte de dar feedback,,Motive sua equipe • Melhore a comunicação • Estabeleça objetivos claros,,,Harvard Business Review,"Review, Harvard Business",,,,,,SEXTANTE,,2019/04/02,2019,,,,Business & Economics,"Não se estresse mais na hora de dar feedback. Para ajudar as pessoas a atingirem suas metas e realizarem seu potencial, você precisa fornecer feedback regularmente. Mas a tensão de falar sobre questões delicadas pode ser esmagadora. Como passar a mensagem adequada para que ela seja não apenas bem recebida, como também capaz de motivar e incentivar as mudanças necessárias? A arte de dar feedback fornece conselhos práticos para transformar qualquer conversa sobre desempenho – de atualizações semanais a avaliações anuais – em uma oportunidade de crescimento e desenvolvimento. Não importa se você quer reconhecer um trabalho exemplar ou abordar problemas de comportamento, neste livro você encontra dicas certeiras para promover o melhor da sua equipe. Aprenda a: • conquistar a confiança de seus subordinados diretos • incluir feedback nas suas interações diárias com eles • transformar as avaliações anuais em catalisadores de crescimento • avaliar o desempenho de forma justa • enfatizar a melhoria e as conquistas, mesmo na hora de criticar • reagir com calma a alguém que fica na defensiva • reconhecer e motivar os destaques da equipe • criar planos de desenvolvimento individualizados",,,,,,,,,,,192,,,,,,português,,,,,,9788543107318,,0,3.000000,,Read,,,,2020/02/24,,,,,,0,,,,,2019/08/16 23:50:06.204849004,,,,,,,Fila 0 | Coluna 3 | Zona 5,kpmNDwAAQBAJ,Jéssica,0,,0,,,"[{""status"":0,""activityYear"":2020,""param1"":""1"",""param2"":""2"",""param3"":"""",""contact"":"""",""comments"":"""",""deviceName"":""iPhone de Antonio Armando Filho"",""type"":12,""addedDate"":""2020\/02\/24 14:12:23.618038058"",""activityDate"":""2020\/02\/24""}]"
A Bíblia do Marketing Digital,,,,,CLAUDIO TORRES,"TORRES, CLAUDIO",,,,,,NOVATEC,,,,,,,,"'A Bíblia do Marketing Digital' é um guia para que o leitor possa entender como utilizar a Internet para os negócios e implementar ações de marketing, comunicação e publicidade on-line. Aborda as principais estratégias, ações, ferramentas e mídias presentes na web, além de incluir roteiros práticos para uso no dia a dia. O livro foi escrito para ser aproveitado por todos que desejam utilizar a Internet para o crescimento de seus negócios, seja um pequeno ou médio empresário, um executivo de uma grande empresa, um publicitário, um profissional de comunicação e marketing ou mesmo um estudante ou professor de cursos de comunicação, marketing e publicidade.",,,,,,,,,,,400,,,,,,português,,,,,,9788575222027,,0,1.000000,,Read,,,,2020/02/24,,,,,,0,,,,,2019/08/09 22:41:20.361371994,,,,,,,,Sh-LQAAACAAJ,Jéssica,0,,0,,http://images.amazon.com/images/P/8575222023.01Z.jpg,"[{""status"":0,""activityYear"":2020,""param1"":""1"",""param2"":""2"",""param3"":"""",""contact"":"""",""comments"":"""",""deviceName"":""iPhone de Antonio Armando Filho"",""type"":12,""addedDate"":""2020\/02\/24 16:44:45.269894003"",""activityDate"":""2020\/02\/24""}]"
A Empresa Conectada,,,,,"Dave Gray, Thomas Vander Wal","Gray, Dave",,,,,,NOVATEC,,,,,,,,"Clientes estão adotando tecnologias inovadoras mais rapidamente do que sua empresa pode se adaptar. Quando os clientes estão bastante satisfeitos, eles podem amplificar sua mensagem por meios que até então eram impossíveis. Entretanto, quando o desempenho de sua empresa permanece aquém de sua promessa, os clientes podem assumir o controle da mensagem passada pela sua marca, espalhando seu desapontamento e sua frustração mais rapidamente do que você pode acompanhar. Para manter-se no mesmo ritmo que os clientes conectados dos dias de hoje, sua empresa deve se transformar em uma empresa conectada. Isso significa um engajamento profundo com funcionários, parceiros e clientes, mudando o modo como o trabalho é feito, como você mede o sucesso e como o desempenho é recompensado. A tarefa exige um novo modo de pensar sobre sua empresa; menos como uma máquina a ser controlada e mais como um sistema complexo e dinâmico que pode aprender e se adaptar ao longo do tempo. Empresas conectadas têm vantagens, pois têm a capacidade de aprender e se mover mais rapidamente que seus concorrentes. Enquanto outras trabalham isoladamente, as conectadas se ligam a redes ricas em possibilidades e expandem sua influência. Empresas conectadas ao redor do mundo estão conquistando clientes agressivamente e desmantelando a concorrência. Em A Empresa Conectada, examinaremos o que essas empresas estão fazendo, como estão fazendo e por que o que fazem funciona. E mostraremos como sua empresa pode usar os mesmos princípios para se adaptar - e prosperar - no mercado global atual em constantes mudanças.",,,,,,,,,,,360,,,,,,português,,,,,,9788575223345,,0,4.000000,,Read,,,,2018/06/11,,,,,,0,,,,,2018/06/10 01:48:23.374858021,,,,,,,,uzy0mgEACAAJ,Profissional,0,,,,http://images.amazon.com/images/P/8575223348.01Z.jpg,
A linguagem de programação Go,,,,,"Alan A. A. Donovan , Brian W. Kernighan","Donovan, Alan A. A.",,,,,,Novatec Editora,,2017/03/07,2017,,,,Computers,"A linguagem de programação Go é a fonte mais confiável para qualquer programador que queira conhecer Go. O livro mostra como escrever código claro e idiomático em Go para resolver problemas do mundo real. Esta obra não pressupõe conhecimentos prévios de Go nem experiência com qualquer linguagem específica, portanto você a achará acessível, independentemente de se sentir mais à vontade com JavaScript, Ruby, Python, Java ou C++.O primeiro capítulo contém um tutorial com os conceitos básicos de Go, apresentado por meio de programas para E/S de arquivos e processamento de texto, imagens gráficas simples, clientes e servidores web.Os primeiros capítulos discutem os elementos estruturais de programas Go: sintaxe, controle de fluxo, tipos de dados e a organização de um programa em pacotes, arquivos e funções. Os exemplos apresentam muitos pacotes da biblioteca-padrão e mostram como criar seus próprios pacotes. Capítulos mais adiante explicam o sistema de pacotes com mais detalhes, além de mostrar como compilar, testar e manter projetos usando a ferramenta go.Os capítulos sobre métodos e interfaces apresentam a abordagem não convencional de Go à programação orientada a objetos, em que métodos podem ser declarados em qualquer tipo e as interfaces são implicitamente satisfeitas. Esses capítulos explicam os princípios fundamentais de encapsulamento, composição e substituibilidade usando exemplos realistas.Dois capítulos sobre concorrência apresentam abordagens detalhadas a esse assunto cada vez mais importante. O primeiro, que discute o sistema básico de gorrotinas e canais, apresenta o estilo conhecido como processos sequenciais comunicantes (communicating sequential processes) pelo qual Go é renomado. O segundo aborda aspectos mais tradicionais de concorrência com variáveis compartilhadas. Esses capítulos oferecem uma base sólida para programadores que estão entrando em contato com a concorrência pela primeira vez.Os dois últimos capítulos exploram recursos de baixo nível de Go. Um dos capítulos aborda a arte da metaprogramação usando reflexão. O outro mostra como usar o pacote unsafe para desviar-se do sistema de tipos em situações especiais e como usar a ferramenta cgo para criar vínculos (bindings) de Go com bibliotecas em C.",,,,,,,,,,,480,,,,,,português,,,,,,9788575225462,,1,5.000000,,Read,,,2018/06/15,2018/07/25,,,,,,0,,,,,2018/06/10 01:34:05.848759055,,,,,,,,2kZGDgAAQBAJ,Profissional,0,,,,,
A Regra É Não Ter Regras,,A NETFLIX E A CULTURA DA REINVENÇÃO,,,"Reed Hastings, Alexandre Raposo","Hastings, Reed",,,,,,INTRINSECA,,2020/09/10,2020,,,,,"Primeiro livro escrito pelo CEO da Netflix conta os bastidores da cultura da empresa Nunca houve uma empresa como a Netflix. De um serviço de locação de DVDs por correio a uma superpotência de streaming, em vinte anos a companhia se tornou um dos principais nomes das indústrias de entretenimento do mundo. Com mais de 180 milhões de assinantes em 190 países e uma receita anual de bilhões de dólares, a Netflix causou uma verdadeira revolução com sua filosofia corporativa nada convencional. Cofundador, presidente e CEO da empresa, Reed Hastings se une à especialista no mundo dos negócios Erin Meyer para falar pela primeira vez sobre a cultura que transformou a marca em um exemplo inigualável de criatividade e adaptação. A partir de centenas de entrevistas com funcionários da Netflix e relatos nunca antes compartilhados, Hastings explica como seus princípios controversos fizeram da Netflix um exemplo de inovação e sucesso global. Uma obra fascinante sobre uma empresa que desafiou tradições e expectativas e dominou as premiações do cinema e da TV, além do imaginário de milhões de pessoas, uma tela por vez.",,,,,,,,,,,352,,,,,,português,,,,,,9786555600315,,1,5.000000,,Read,,,,2020/12/19,,,,,,0,,,,,2020/12/19 22:12:05.623180985,,,,,,,,v3HAzQEACAAJ,Profissional,0,,0,,http://images.amazon.com/images/P/6555600314.01Z.jpg,"[{""status"":0,""activityYear"":2020,""param1"":""1"",""param2"":""2"",""param3"":"""",""contact"":"""",""comments"":"""",""deviceName"":""iPhone de Antonio Armando Filho"",""type"":12,""addedDate"":""2020\/12\/19 22:12:05.639343023"",""activityDate"":""2020\/12\/19""}]"
